temp1_e,Mean Surface temperature for the first month of growing season °C,"downloaded from ERA5-Land (Muñoz-Sabater et al., 2021) using KrigR package in R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
temp2_e,Mean Surface temperature for the second month of growing season °C,"downloaded from ERA5-Land (Muñoz-Sabater et al., 2021) using KrigR package in R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
temp3_e,Mean Surface temperature for the third month of growing season °C,"downloaded from ERA5-Land (Muñoz-Sabater et al., 2021) using KrigR package in R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
temp4_e,Mean Surface temperature for the fourth month of growing season °C,"downloaded from ERA5-Land (Muñoz-Sabater et al., 2021) using KrigR package in R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
temp5_e,Mean Surface temperature for the fifth month of growing season °C,"downloaded from ERA5-Land (Muñoz-Sabater et al., 2021) using KrigR package in R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
temp6_e,Mean Surface temperature for the sixth month of growing season °C,"downloaded from ERA5-Land (Muñoz-Sabater et al., 2021) using KrigR package in R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AvTemp_e,Average mean temperature for the season °C,"downloaded from ERA5-Land (Muñoz-Sabater et al., 2021) using KrigR package in R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pp1_e,Mean Precipitation for the first month of growing season mm,"downloaded from ERA5-Land (Muñoz-Sabater et al., 2021) using KrigR package in R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pp2_e,Mean Precipitation for the second month of growing season mm,"downloaded from ERA5-Land (Muñoz-Sabater et al., 2021) using KrigR package in R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pp3_e,Mean Precipitation for the third month of growing season mm,"downloaded from ERA5-Land (Muñoz-Sabater et al., 2021) using KrigR package in R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pp4_e,Mean Precipitation for the fourth month of growing season mm,"downloaded from ERA5-Land (Muñoz-Sabater et al., 2021) using KrigR package in R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pp5_e,Mean Precipitation for the fifth month of growing season mm,"downloaded from ERA5-Land (Muñoz-Sabater et al., 2021) using KrigR package in R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pp6_e,Total  Precipitation for the season based on monthy mean mm,"downloaded from ERA5-Land (Muñoz-Sabater et al., 2021) using KrigR package in R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpp_e,Tpp_Eentification number for observation mm,"downloaded from ERA5-Land (Muñoz-Sabater et al., 2021) using KrigR package in R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPEI,Standarised Precipitation Evapotransperation index,"values less than -1.5 indicting to dry month and higher than 1.5 indicating to wet month (Li et al., 2015). However, we reclassified SPEI data to four categories to reflect the conditions of entire growing season: 1 (SPEI between -1.5 to 1.5) for normal season, 2 (SPEI < -1) for dry season, 3 (SPEI > 2) for wet and 4 (SPEI <-1 and > 2) for seasons have both dry and wet condition.  ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEZ,Agroecological Zones ,"AEZ for the period 1981-2010 was downloaded from Food and Agriculture Organisation (FAO) Global Agro-Ecological Zones (GAEZ) data portal (FAO and IIASA, 2021).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soil_class,Soil_Classentification number for observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elevation,Elevation m,"downloaded from Soil Grid (Hengl et al., 2017) at 900 m spatial resolution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clay,Clay %," Geodata R package (Hijmans et al., 2023) used to download soil variable and elevation. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sand,Sand %,"Soil data available for three depths (0-5, 5-15 and 15-30 cm).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silt,Silt %,The weight average of the 3 depth is taken to represent the 0-30 cm depth.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ph,Ph %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soc,Soil organic carbon gm/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr_irrigated,%Percentage of monthly irrigated land data  ,MIRCA2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AvFS,Average farm size ,World bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AvMin_t,Average minimum temperature  °C,Terra Climate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AvMax_t,Avmax_Tentification number for observation,Terra Climate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV_Agm,Average agricultural machinery /100 square km (Average from 1980 to 2009),World bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AvEiA, %employment in agriculture from total employment (Average from 1980 to 2022),World bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gdp,Gross Domestic Product ,World bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,fertilizer consumption (kilograms per hectare of arable land)  (Average from 1980 to 2021),World bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CropIndex,Crop index,World bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,P2O5 rates kg/ha,Associated with data and added from NPK grid ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
