ahc_cluster,Location,Rows_at_Location
2013004,ENEB (Campo Experimental Norman E. Borlaug),4500
2013004,Norman E. Borlaug Experiment Station (CENEB),72
2013004,Yaqui Valley (Cajeme District),1
2013005,"Imperial County, CA",47
2013006,Broadbalk,150
2013007,"St. Paul, MN",1
2013008,"Alberta, Canada",5
2013009,"Kern County, CA",45
2013010,"Selby, SD",1
2013011,"Brookings, SD",1
2014000,"Glyndon, MN",7
2014000,"Carrington, ND",1
2014000,"Crookston, MN",1
2014001,"Manitoba, Canada",3
2014001,"Langdon, ND",1
2014002,"Sacramento Delta, CA",47
2014002,"Yolo County at the University of California Davis, CA",47
2014002,"Butte County and Colusa County, CA",46
2014003,ENEB (Campo Experimental Norman E. Borlaug),4500
2014003,Norman E. Borlaug Experiment Station (CENEB),72
2014003,Yaqui Valley (Cajeme District),1
2014004,Marchouch,48
2014004,Sidi Allal Tazi,48
2014005,"Kern County, CA",47
2014005,"Kings County, CA",47
2014006,Tsibet,65
2014007,"Arkaute, Spain",6
2014008,"Imperial County, CA",47
2014009,Broadbalk,150
2014010,WÃ¼rzburg,112
2014011,"St. Paul, MN",1
2014012,"Alberta, Canada",5
2014013,"Selby, SD",1
2014014,JemhÃ¢a Shaim,48
2014015,"Brookings, SD",1
2015000,"Carrington, ND",1
2015000,"Langdon, ND",1
2015001,Melk Zhar,48
2015001,Tessaout,48
2015002,"Kings County, CA",50
2015002,"Kern County, CA",49
2015003,ENEB (Campo Experimental Norman E. Borlaug),4500
2015003,Norman E. Borlaug Experiment Station (CENEB),72
2015003,Yaqui Valley (Cajeme District),1
2015004,"Glyndon, MN",7
2015004,"Crookston, MN",1
2015005,Tsibet,60
2015006,Marchouch,48
2015006,Sidi el Aydi,48
2015007,"Central Maryland Research and Education Center, Beltsville",16
2015007,"Wye Research and Education Center, Queenstown",16
2015008,"Sacramento Delta, CA",50
2015008,"Yolo County at the University of California Davis, CA",50
2015009,Broadbalk,132
2015010,Bouhmidi Pilot farm in the area of Khemis Miliana commune,144
2015011,Viterbo,8
2015012,"Imperial County, CA",50
2015013,"St. Paul, MN",1
2015014,"Alberta, Canada",7
2015015,"Selby, SD",1
2015016,"Alberta, Canada",5
2015017,experimental station of the University of Agriculture,10
2015018,"Brookings, SD",1
2015019,Spain,3
2015020,JemhÃ¢a Shaim,48
2016000,"Giresta, Staby SÃ¤teri",2
2016000,NybbleÂ ,2
2016001,"Butte County and Colusa County, CA",41
2016001,"Sacramento Delta, CA",41
2016001,"Yolo County at the University of California Davis, CA",41
2016002,Norman E. Borlaug Experiment Station (CENEB),72
2016002,Yaqui Valley (Cajeme District),1
2016003,Tsibet,324
2016004,EskilstorpsgÃ¥rd,2
2016004,KlostergÃ¥rden,2
2016004,Stora UppÃ¥kravÃ¤gen,2
2016005,"Kansas State University Rocky Ford experimental station, KS",500
2016006,"Kern County, CA",41
2016007,Viterbo,8
2016008,Broadbalk,132
2016009,Kabe,288
2016010,"Imperial County, CA",41
2016011,experimental station of the University of Agriculture,10
2016012,"Alberta, Canada",7
2016013,Asendorf,118
2016014,"Arkaute, Spain",10
2016015,"Madrid, Spain",7
2016016,"Central Alberta, Canada",15
2017000,"Giresta, Staby SÃ¤teri",2
2017000,NybbleÂ ,2
2017001,"Fresno, CA",4920
2017001,"Kern County, CA",1685
2017001,"Kings County, CA",45
2017002,"Davis, CA",3280
2017002,"Solano, CA",1640
2017002,"Delta, CA",1476
2017002,"Colusa, CA",1312
2017002,"Butte County and Colusa County, CA",45
2017002,"Yolo County at the University of California Davis, CA",45
2017002,"Sacramento Delta, CA",43
2017003,"Imperial County, CA",1525
2017004,experimental station of the University of Agriculture,10
2017005,South East Ari,40
2017006,EskilstorpsgÃ¥rd,2
2017006,KlostergÃ¥rden,2
2017006,Stora UppÃ¥kravÃ¤gen,2
2017007,Maize Research Institute,40
2017008,Broadbalk,150
2017009,Viterbo,9
2017010,"Ebro Valley, Spain",4
2017011,"Central Alberta, Canada",15
2017012,Demonstartion Farm and Seeds Production,40
2017013,Norman E. Borlaug Experiment Station (CENEB),72
2017013,Yaqui Valley (Cajeme District),1
2017014,Bahri Dagdas R.I,40
2017015,"Kansas State University Rocky Ford experimental station, KS",359
2017016,Inst. Of Plant Production,40
2018000,Bahri Dagdas R.I,76
2018000,Hisar Seeds Experimental Field - ÅereflikoÃ§hisar-Ankara,40
2018000,Central Field Crop Research Institute,36
2018000,HISAR Seeds,36
2018001,"Davis, CA",4756
2018001,"Solano, CA",1394
2018001,"Colusa, CA",984
2018001,"Yolo County at the University of California Davis, CA",41
2018001,"Butte County and Colusa County, CA",40
2018001,"Sacramento Delta, CA",39
2018002,Norman E. Borlaug Experiment Station (CENEB),72
2018002,Yaqui Valley (Cajeme District),1
2018003,"Fresno, CA",3280
2018003,"Kern County, CA",1681
2018003,"Kings County, CA",1681
2018004,South East Ari,40
2018005,Agricultural Institute Osijek,36
2018006,ICARDA,40
2018007,KlostergÃ¥rden,2
2018007,Stora UppÃ¥kravÃ¤gen,2
2018008,"Imperial County, CA",1521
2018009,Rostov ARI,39
2018009,Rostov Ari,35
2018010,Trakya Ari,40
2018011,"Ashland Bottoms experimental station, KS",399
2018012,Uppsala,40
2018013,Broadbalk,150
2018014,Plant Production Institute,40
2018015,CÃ©rÃ©la inc.,40
2018016,Krasnodar Lukyanenko Research Institute of Agriculture,76
2018017,Transitional zone agricultural research institute,36
2018018,Agronom breeding company,40
2018019,"Ebro Valley, Spain",4
2018020,NybbleÂ ,2
2019000,Bahri Dagdas R.I,78
2019000,Central Field Crop Research Institute,78
2019000,HISAR Seeds,78
2019001,"Butte County and Colusa County, CA",38
2019001,"Sacramento Delta, CA",38
2019001,"Yolo County at the University of California Davis, CA",38
2019002,Kampetorp,2
2019002,Nybble,2
2019003,Rostov ARI,78
2019004,Agricultural Institute Osijek,78
2019004,"Rimski Sancevi, Inst. Of Field And Veg. Crops",78
2019005,Goshebado,192
2019006,Plant Production Institute,39
2019006,"Plant Production Institute nd. a. V.Ya. Yuryev Kharkiv, Ukraine",39
2019007,Transitional zone agriculturel research Ä±nstitute,38
2019007,Transitional zone agriculturel researh Ä±nstitute,38
2019008,Trakya Ari,39
2019009,"Ashland Bottoms experimental station, KS",385
2019010,South East Ari,78
2019011,KlostergÃ¥rden,2
2019012,"Kern County, CA",38
2019013,Yaqui Valley (Cajeme District),1
2019014,"Giresta, Staby SÃ¤teri",2
2019015,Broadbalk,149
2019016,Agronom breeding company,78
2020000,"Flo, Bragnum",2
2020000,NyhemÂ ,2
2020001,"Giresta, Staby SÃ¤teri",2
2020002,KlostergÃ¥rden,2
2020003,"Ashland Bottoms experimental station, KS",459
2020004,"USDA-ARS Central Great Plains Research Station in Washington County, CO",24
2020005,Broadbalk,150
